day,delta_ratio,delta,volume,tape_move,long_pnl,short_pnl
2025-06-25,-0.014716781365802012,-139.0,9445.0,12.5,-44,36
2025-06-26,-0.033268101761252444,-289.0,8687.0,-13.75,-44,36
2025-06-27,-0.013494648673801768,-116.0,8596.0,-5.0,36,-44
2025-06-30,-0.08983647277996273,-868.0,9662.0,-40.0,-44,36
2025-07-01,-0.05303381194997684,-458.0,8636.0,12.5,-44,36
2025-07-02,0.04086888366364349,365.0,8931.0,28.75,-44,36
2025-07-03,0.036744861947270085,354.0,9634.0,38.75,-44,36
2025-07-07,-0.0765423369277002,-866.0,11314.0,8.75,-44,36
2025-07-08,-0.052369730295888976,-400.0,7638.0,-20.0,36,-44
2025-07-11,-0.056463288521199584,-546.0,9670.0,12.5,36,-44
2025-07-15,-0.05260278968000729,-577.0,10969.0,-8.75,-44,36
2025-07-17,-0.02565126260105799,-257.0,10019.0,-17.5,-44,36
2025-07-18,0.0612367120826471,818.0,13358.0,-5.0,-44,36
2025-07-21,0.07044093630919979,647.0,9185.0,38.75,36,-44
2025-07-22,-0.007008601465434852,-88.0,12556.0,-56.25,-44,36
2025-07-24,-0.01997296891425139,-266.0,13318.0,-16.25,36,-44
2025-07-25,-0.006504621704895584,-57.0,8763.0,-2.5,36,-44
2025-07-28,0.01217450118363206,144.0,11828.0,2.5,36,-44
2025-07-29,0.012405572111719453,179.0,14429.0,27.5,36,-44
2025-07-30,-0.09739233504543658,-986.0,10124.0,-27.5,36,-44
2025-08-01,-0.024258138864880437,-421.0,17355.0,-52.5,-44,36
2025-08-04,0.021340547039374814,284.0,13308.0,10.0,36,-44
2025-08-05,0.00581170089112747,75.0,12905.0,-31.25,36,-44
2025-08-07,0.09306717021850552,1035.0,11121.0,15.0,36,-44
2025-08-08,-0.0016355140186915889,-14.0,8560.0,8.75,-44,36
2025-08-12,-0.0336913614247682,-367.0,10893.0,-10.0,36,-44
2025-08-13,-0.028031809145129226,-282.0,10060.0,15.0,-44,36
2025-08-14,-0.004102470598960708,-45.0,10969.0,22.5,-44,36
2025-08-15,-0.04298395888490889,-552.0,12842.0,-41.25,-44,36
