fecha,EntryTime_NY,Side,score total,Cvd_Pullback_Label,Cvd_Worst_Label,Dynamic_Alarm_Triggered,Result_Label,result TP SL BE,MFE_ticks,MAE_ticks,TP_ticks,SL_ticks,sim_TP100_SL40,result_bucket,source_file
2024-09-05,09:33:11,BUY,8,Excelente,Riesgo de reversion,TRUE,TP,+20,20,5,20,20,20.0,positive before +100,score_trade_result_2024-09-05_NY.csv
2024-09-06,09:32:46,SELL,6,Excelente,Advertencia,FALSE,TP,+21,25,5,21,21,21.0,positive before +100,score_trade_result_2024-09-06_NY.csv
2024-09-10,09:31:24,BUY,8,Excelente,Riesgo de reversion,TRUE,TP,+20,20,10,20,20,20.0,positive before +100,score_trade_result_2024-09-10_NY.csv
2024-09-13,09:36:21,BUY,8,Excelente,Riesgo de reversion,TRUE,TP,+36,40,25,36,36,36.0,positive before +100,score_trade_result_2024-09-13_NY.csv
2024-09-26,09:35:10,SELL,8,Excelente,Riesgo de reversion,TRUE,TP,+31,35,10,31,31,31.0,positive before +100,score_trade_result_2024-09-26_NY.csv
2024-10-01,09:32:39,SELL,8,Excelente,Riesgo de reversion,TRUE,TP,+60,60,20,60,60,60.0,positive before +100,score_trade_result_2024-10-01_NY.csv
2024-10-09,09:35:09,BUY,8,Excelente,Excelente,FALSE,TP,+60,60,35,60,60,60.0,positive before +100,score_trade_result_2024-10-09_NY.csv
2024-10-15,09:35:13,BUY,8,Excelente,Riesgo de reversion,TRUE,TP,+21,25,5,21,21,21.0,positive before +100,score_trade_result_2024-10-15_NY.csv
2024-10-16,09:31:07,SELL,8,Excelente,Riesgo de reversion,TRUE,TP,+20,20,5,20,20,20.0,positive before +100,score_trade_result_2024-10-16_NY.csv
2024-10-17,09:34:07,SELL,6,Excelente,Riesgo de reversion,FALSE,TP,+20,20,5,20,20,20.0,positive before +100,score_trade_result_2024-10-17_NY.csv
2024-10-21,09:36:22,BUY,8,Excelente,Riesgo de reversion,TRUE,TP,+21,25,10,21,21,21.0,positive before +100,score_trade_result_2024-10-21_NY.csv
2024-10-25,09:35:11,BUY,8,Excelente,Riesgo de reversion,FALSE,TP,+20,20,0,20,20,20.0,positive before +100,score_trade_result_2024-10-25_NY.csv
2024-10-29,09:31:18,SELL,8,Excelente,Riesgo de reversion,TRUE,TP,+36,40,5,36,36,36.0,positive before +100,score_trade_result_2024-10-29_NY.csv
2024-10-31,09:31:44,SELL,8,Excelente,Riesgo de reversion,TRUE,TP,+36,40,10,36,36,36.0,positive before +100,score_trade_result_2024-10-31_NY.csv
2024-11-01,09:31:06,BUY,7,Excelente,Excelente,FALSE,TP,+60,60,0,60,60,60.0,positive before +100,score_trade_result_2024-11-01_NY.csv
