feature,physical_family,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
Previous_Volume_AtEntry,FLOW_BURST_QUALITY,-0.012118246541088888,-0.045335998931818215,-0.03279275931375078,-0.25955810245941935,0.049433422803000164,0.1550990835758641,-0.004016097653076812,0.03512178780131608,0.04440815842756167,-0.13278357888391767
Previous_Delta_AtEntry,FLOW_BURST_QUALITY,-0.08362047896640729,0.01248502385530407,-0.0406126443260315,-0.09053809839764515,0.03615596980921621,-0.05768772036948677,-0.07686058125325904,0.010625477306987409,-0.06703026832147085,0.16909835267360956
Delta_Change_AtEntry,FLOW_BURST_QUALITY,-0.11515552577316401,0.007666380950362243,0.04172226052857367,0.11537433746057604,-0.03176034868135284,0.06312575180888456,0.11770698490883048,0.01721136552345424,0.06818495020657843,-0.18334047675749138
BreakOut_TICKS_PER_SEC_AtEntry,OTHER_CAUSAL_CONTEXT,0.0030500767780909576,0.11640813778329569,-0.013830153021647208,0.014238718488057049,0.230796873002962,0.020622139749026422,-0.1743799676511721,0.06552628978643124,0.0023681735674793442,0.09612014669560863
Score_AtEntry,OTHER_CAUSAL_CONTEXT,-0.011509288155146997,-0.040921758281302255,0.04875690327954516,0.1374202674838171,0.03781533958149318,0.09847940210516871,0.22795320653165926,-0.191739020126813,0.030803385780808868,-0.15667696543882317
Buy_Imbalance_Count_AtEntry,FLOW_BURST_QUALITY,-0.1081752837346975,-0.03363329243406126,0.0254822821171019,0.12338432242812676,0.0045010053087050925,0.05045374101538496,0.13310503262197057,0.07290108895156934,0.05818383788406132,-0.17002577286898066
Sell_Imbalance_Count_AtEntry,FLOW_BURST_QUALITY,0.10737478645051671,-0.06288449454976212,-0.09445966093116569,0.0021094437902946825,0.06738579934455864,0.10085612253649184,0.0243404109037502,-0.1430906055997107,-0.06920863727714789,0.00028469991263071
Seconds_From_Open_AtEntry,TIME_REGIME,0.04876341850270876,0.05610978954875144,-0.025904938368783683,0.3058031459998564,-0.06962001427436805,-0.13903325683488094,0.11154307083924807,-0.010581674001378534,-0.01725833201452064,0.13962697274071406
Directional_OR_Extension_Ticks_AtEntry,AUCTION_THEORY,-0.00930741406676434,-0.2012999712406067,-0.024401127514042203,-0.024806974285930955,0.019636306269563048,-0.19564730489875462,-0.014119464332054951,0.1899108412894112,-0.016727377876422714,0.005117441400111997
Directional_VWAP_Distance_Ticks_AtEntry,AUCTION_THEORY,0.009576179968834907,-0.020327795036567033,-0.005817255626442677,0.0011631379323036155,-0.017470827000059353,-0.16210793426582154,-0.09094917172157232,0.24488411398857918,0.013224677817448098,0.010158831781744811
