comparison,year,feature,physical_family,n_D,n_other,median_D,median_other,direction_D_minus_other,cliffs_delta_D_minus_other
D_vs_REST,2022,Profile_Concentration,AUCTION_THEORY,10,26,0.064132520912194,0.06959968179835249,-1.0,-0.1076923076923077
D_vs_REST,2023,Profile_Concentration,AUCTION_THEORY,16,25,0.103350875714756,0.09832554517134,1.0,0.09
D_vs_REST,2024,Profile_Concentration,AUCTION_THEORY,18,31,0.0870699804112675,0.084383593033914,1.0,0.021505376344086023
D_vs_REST,2025,Profile_Concentration,AUCTION_THEORY,22,21,0.0677050210913,0.06509670487106,1.0,0.08225108225108226
D_vs_REST,2026,Profile_Concentration,AUCTION_THEORY,5,9,0.033516926383665,0.049546485260771,-1.0,-0.6
D_vs_REST,2022,Profile_Effective_Nodes,AUCTION_THEORY,10,26,31.220648445388,29.195064328128502,1.0,0.27692307692307694
D_vs_REST,2023,Profile_Effective_Nodes,AUCTION_THEORY,16,25,21.75040705719275,20.4340866757413,1.0,0.01
D_vs_REST,2024,Profile_Effective_Nodes,AUCTION_THEORY,18,31,22.946105265897103,22.3527456078888,1.0,-0.021505376344086023
D_vs_REST,2025,Profile_Effective_Nodes,AUCTION_THEORY,22,21,33.2958669676092,32.6110205105958,1.0,0.0735930735930736
D_vs_REST,2026,Profile_Effective_Nodes,AUCTION_THEORY,5,9,58.0572847179412,43.0083513237871,1.0,0.5555555555555556
D_vs_REST,2022,Profile_Local_Maxima_Count,AUCTION_THEORY,10,26,10.0,8.5,1.0,0.16538461538461538
D_vs_REST,2023,Profile_Local_Maxima_Count,AUCTION_THEORY,16,25,6.0,6.0,0.0,0.0325
D_vs_REST,2024,Profile_Local_Maxima_Count,AUCTION_THEORY,18,31,7.0,7.0,0.0,-0.17921146953405018
D_vs_REST,2025,Profile_Local_Maxima_Count,AUCTION_THEORY,22,21,10.5,8.0,1.0,0.010822510822510822
D_vs_REST,2026,Profile_Local_Maxima_Count,AUCTION_THEORY,5,9,21.0,14.0,1.0,0.5555555555555556
