feature_a,feature_b,spearman,pearson,abs_spearman,abs_pearson,redundant_ge_0_90
Delta5s,CumulativeDeltaWindow,0.9464839217015398,0.9875363796517841,0.9464839217015398,0.9875363796517841,1
Dist_VWAP_Ticks,Dist_VAL_Ticks,0.9440371237379637,0.971544845836652,0.9440371237379637,0.971544845836652,1
Dist_OR_Low_Ticks,Dist_VWAP_Ticks,0.9419311829637114,0.9493111297437655,0.9419311829637114,0.9493111297437655,1
Dist_OR_Low_Ticks,Dist_VAL_Ticks,0.9411086426778785,0.9527737583135119,0.9411086426778785,0.9527737583135119,1
Realized_Volatility_30s_Ticks,Realized_Volatility_60s_Ticks,0.9384020576573295,0.9247050137402272,0.9384020576573295,0.9247050137402272,1
Seconds_Since_Prior_Burst,Seconds_From_Open_AtEntry,0.9369749612033813,0.9984231924078661,0.9369749612033813,0.9984231924078661,1
Seconds_From_Open_AtEntry,Liquidity_Burst_Seconds_Since_Prior_Burst,0.9369749612033813,0.9984231924078664,0.9369749612033813,0.9984231924078664,1
Velocity1s,Acceleration1s,0.9367941129327068,0.9455241748482469,0.9367941129327068,0.9455241748482469,1
Acceleration1s,TicksPerSecond,0.9367941129327068,0.9455241748482467,0.9367941129327068,0.9455241748482467,1
Velocity1s,Velocity3s,0.9346633230818489,0.9382903427338649,0.9346633230818489,0.9382903427338649,1
Velocity3s,TicksPerSecond,0.9346633230818489,0.938290342733865,0.9346633230818489,0.938290342733865,1
Delta_Retention_3_5,delta_persistence_3_5,0.9340539031384109,0.6171181483491758,0.9340539031384109,0.6171181483491758,1
Delta1s,DeltaChangeZScore,0.9325013704940804,0.975876922282653,0.9325013704940804,0.975876922282653,1
Delta5s,Delta10s,0.9312800375197213,0.9775108471980941,0.9312800375197213,0.9775108471980941,1
Dist_POC_Ticks,Dist_VAH_Ticks,0.9300421642137885,0.958875515866844,0.9300421642137885,0.958875515866844,1
PreBurst_Price_Per_Delta_3s,PreBurst_Price_Per_Volume_3s,0.9290390060900574,0.9160788376449942,0.9290390060900574,0.9160788376449942,1
Signal_To_Entry_Latency_Milliseconds,Detector_Publish_To_Entry_Latency_Milliseconds,0.9281434426139064,0.9350664592747756,0.9281434426139064,0.9350664592747756,1
POC_Migration_Ticks,Body_AtEntry,-0.9265616458263765,-0.8694639250830092,0.9265616458263765,0.8694639250830092,1
POC_Migration_Ticks,Pre_Approach_Distance_Ticks,0.9265616458263765,0.7966956225572314,0.9265616458263765,0.7966956225572314,1
Dist_OR_Low_Ticks,POC_Migration_Ticks,0.9265616458263765,0.8410072999750456,0.9265616458263765,0.8410072999750456,1
POC_Migration_Ticks,Nearest_OR_Edge_Distance_Ticks_AtEntry,-0.9265616458263765,-0.8410072999750456,0.9265616458263765,0.8410072999750456,1
TradesPerSecond,POC_Migration_Ticks,-0.9265616458263765,-0.9179090392111384,0.9265616458263765,0.9179090392111384,1
price_impact_per_100_contracts,liquidity_absorption_score,-0.9255205715095011,-0.5045945081003534,0.9255205715095011,0.5045945081003534,1
Velocity1s,Velocity5s,0.9249424040866665,0.9081922330059391,0.9249424040866665,0.9081922330059391,1
Velocity5s,TicksPerSecond,0.9249424040866665,0.9081922330059389,0.9249424040866665,0.9081922330059389,1
Flow_3_5_DirectionalNetDelta,Delta_Retention_3_5,0.9225962390287407,0.6152221653244689,0.9225962390287407,0.6152221653244689,1
Dist_OR_High_Ticks,Dist_VWAP_Ticks,0.9219186695538235,0.965366051342965,0.9219186695538235,0.965366051342965,1
DeltaChangeZScore,Seconds_Since_Prior_Burst,-0.9189562119494701,-0.930395041101933,0.9189562119494701,0.930395041101933,1
DeltaChangeZScore,Liquidity_Burst_Seconds_Since_Prior_Burst,-0.9189562119494701,-0.930395041101933,0.9189562119494701,0.930395041101933,1
Flow_3_5_CounterflowShare,Delta_Retention_3_5,-0.9173861395866207,-0.5760898769476337,0.9173861395866207,0.5760898769476337,1
POC_Migration_Ticks,acceleration_velocity_ratio,-0.916248050208288,-0.8670683872355258,0.916248050208288,0.8670683872355258,1
Flow_0_1_TicksPerAggressiveContract,absorption_pressure_1s,-0.9137402446708504,-0.4933627294596132,0.9137402446708504,0.4933627294596132,1
Flow_0_1_TicksPerAggressiveContract,burst_efficiency_score,0.9135106134399815,0.923005839778758,0.9135106134399815,0.923005839778758,1
Directional_OR_Extension_Ticks_AtEntry,directional_vwap_distance,-0.910006828866097,-0.9211959411358069,0.910006828866097,0.9211959411358069,1
Dist_POC_Ticks,Dist_VAL_Ticks,0.9088996874869316,0.9357699964053449,0.9088996874869316,0.9357699964053449,1
Profile_Concentration,Profile_Effective_Nodes,-0.9088429547145144,-0.8053943863324168,0.9088429547145144,0.8053943863324168,1
Delta2s,Delta5s,0.908135731551319,0.9759003587079105,0.908135731551319,0.9759003587079105,1
Flow_0_1_DirectionalVelocityTPS,liquidity_absorption_score,-0.9064550762896809,-0.45908732012998316,0.9064550762896809,0.45908732012998316,1
Velocity3s,Acceleration3s,0.9049437281703492,0.8893153749631937,0.9049437281703492,0.8893153749631937,1
Delta1s,Delta5s,0.9042991340692577,0.9739053546233662,0.9042991340692577,0.9739053546233662,1
Dist_VWAP_Ticks,Dist_VAH_Ticks,0.9023605403648147,0.9397902306236886,0.9023605403648147,0.9397902306236886,1
Delta2s,DeltaChange1s,0.9014116258190371,0.972051047065361,0.9014116258190371,0.972051047065361,1
Profile_Normalized_Entropy,Seconds_Since_Prior_Burst,-0.900937462695559,-0.8859428261231899,0.900937462695559,0.8859428261231899,1
Profile_Normalized_Entropy,Liquidity_Burst_Seconds_Since_Prior_Burst,-0.900937462695559,-0.8859428261231899,0.900937462695559,0.8859428261231899,1
Dist_VWAP_Ticks,Dist_POC_Ticks,0.8986556415506595,0.9377866730448677,0.8986556415506595,0.9377866730448677,1
TradesPerSecond,ContractsPerSecond,0.8948382908016129,0.9465523685801563,0.8948382908016129,0.9465523685801563,1
TradesPerSecond,Flow_0_1_GrossAggressive,0.8948382908016129,0.9465523685801563,0.8948382908016129,0.9465523685801563,1
Delta3s,DeltaChange1s,0.8935991307405837,0.9691631512451486,0.8935991307405837,0.9691631512451486,1
DeltaChange1s,CumulativeDeltaWindow,0.8935991307405837,0.9691631512451486,0.8935991307405837,0.9691631512451486,1
Prior_Closed_ATR3_Ticks_AtEntry,Prior_Closed_ATR5_Ticks_AtEntry,0.8924147006160915,0.8755650868917944,0.8924147006160915,0.8755650868917944,0
Flow_0_1_TicksPerAggressiveContract,liquidity_absorption_score,-0.8923938061199549,-0.47609041357615456,0.8923938061199549,0.47609041357615456,0
Acceleration1s,Acceleration3s,0.8918385595977006,0.9108517695381829,0.8918385595977006,0.9108517695381829,1
POC_Migration_Ticks,Flow_0_1_GrossAggressive,-0.8894991799933214,-0.904738013897243,0.8894991799933214,0.904738013897243,1
ContractsPerSecond,POC_Migration_Ticks,-0.8894991799933214,-0.9047380138972428,0.8894991799933214,0.9047380138972428,1
