request_id,pilot_stage,fecha,BurstId,family_label_only,burst_side,start_utc,end_utc_exclusive,requested_hours,estimated_cost_usd
NQ_MBO_SNAPSHOT_2023-09-14_LB_20230914_093127_SELL_0001,DISCOVERY_100,2023-09-14,LB_20230914_093127_SELL_0001,A_TRUE_ABSORPTION,SELL,2023-09-14T00:00:00.000000Z,2023-09-14T13:31:28.062000Z,13.524461666666664,0.374765378237
NQ_MBO_SNAPSHOT_2023-09-15_LB_20230915_093253_SELL_0001,DISCOVERY_100,2023-09-15,LB_20230915_093253_SELL_0001,B_CLEAN_BREAKOUT,SELL,2023-09-15T00:00:00.000000Z,2023-09-15T13:32:54.037000Z,13.54834361111111,0.287302136421
NQ_MBO_SNAPSHOT_2023-09-19_LB_20230919_093101_SELL_0001,DISCOVERY_100,2023-09-19,LB_20230919_093101_SELL_0001,A_TRUE_ABSORPTION,SELL,2023-09-19T00:00:00.000000Z,2023-09-19T13:31:02.011000Z,13.517225277777776,0.229578758776
NQ_MBO_SNAPSHOT_2023-09-22_LB_20230922_093553_SELL_0001,DISCOVERY_100,2023-09-22,LB_20230922_093553_SELL_0001,C_MIXED_PATH,SELL,2023-09-22T00:00:00.000000Z,2023-09-22T13:35:54.074000Z,13.598353888888887,0.30228561312
NQ_MBO_SNAPSHOT_2023-09-26_LB_20230926_093118_SELL_0002,DISCOVERY_100,2023-09-26,LB_20230926_093118_SELL_0002,B_CLEAN_BREAKOUT,SELL,2023-09-26T00:00:00.000000Z,2023-09-26T13:31:19.035000Z,13.521954166666667,0.352436001599
NQ_MBO_SNAPSHOT_2023-09-27_LB_20230927_093102_BUY_0001,DISCOVERY_100,2023-09-27,LB_20230927_093102_BUY_0001,C_MIXED_PATH,BUY,2023-09-27T00:00:00.000000Z,2023-09-27T13:31:03.091000Z,13.51752527777778,0.282237267494
NQ_MBO_SNAPSHOT_2023-10-02_LB_20231002_093150_BUY_0001,DISCOVERY_100,2023-10-02,LB_20231002_093150_BUY_0001,B_CLEAN_BREAKOUT,BUY,2023-10-02T00:00:00.000000Z,2023-10-02T13:31:51.110000Z,13.53086388888889,0.337131746113
NQ_MBO_SNAPSHOT_2023-10-16_LB_20231016_093102_BUY_0001,DISCOVERY_100,2023-10-16,LB_20231016_093102_BUY_0001,B_CLEAN_BREAKOUT,BUY,2023-10-16T00:00:00.000000Z,2023-10-16T13:31:03.023000Z,13.51750638888889,0.356516379118
NQ_MBO_SNAPSHOT_2023-10-27_LB_20231027_093329_BUY_0001,DISCOVERY_100,2023-10-27,LB_20231027_093329_BUY_0001,C_MIXED_PATH,BUY,2023-10-27T00:00:00.000000Z,2023-10-27T13:33:30.047000Z,13.55834638888889,0.39186822921
NQ_MBO_SNAPSHOT_2023-11-02_LB_20231102_093203_SELL_0001,DISCOVERY_100,2023-11-02,LB_20231102_093203_SELL_0001,A_TRUE_ABSORPTION,SELL,2023-11-02T00:00:00.000000Z,2023-11-02T13:32:04.053000Z,13.534459166666666,0.297760163248
NQ_MBO_SNAPSHOT_2024-03-18_LB_20240318_093121_BUY_0001,DISCOVERY_100,2024-03-18,LB_20240318_093121_BUY_0001,C_MIXED_PATH,BUY,2024-03-18T00:00:00.000000Z,2024-03-18T13:31:22.022000Z,13.522783888888888,0.255319073796
NQ_MBO_SNAPSHOT_2024-04-02_LB_20240402_093358_SELL_0002,DISCOVERY_100,2024-04-02,LB_20240402_093358_SELL_0002,C_MIXED_PATH,SELL,2024-04-02T00:00:00.000000Z,2024-04-02T13:33:59.018000Z,13.566393888888888,0.327413190901
NQ_MBO_SNAPSHOT_2024-04-04_LB_20240404_093500_BUY_0001,DISCOVERY_100,2024-04-04,LB_20240404_093500_BUY_0001,B_CLEAN_BREAKOUT,BUY,2024-04-04T00:00:00.000000Z,2024-04-04T13:35:01.015000Z,13.583615277777778,0.20691780746
NQ_MBO_SNAPSHOT_2024-04-05_LB_20240405_093248_SELL_0001,DISCOVERY_100,2024-04-05,LB_20240405_093248_SELL_0001,C_MIXED_PATH,SELL,2024-04-05T00:00:00.000000Z,2024-04-05T13:32:49.026000Z,13.546951666666669,0.386371618509
NQ_MBO_SNAPSHOT_2024-04-09_LB_20240409_093342_SELL_0001,DISCOVERY_100,2024-04-09,LB_20240409_093342_SELL_0001,B_CLEAN_BREAKOUT,SELL,2024-04-09T00:00:00.000000Z,2024-04-09T13:33:43.035000Z,13.561954166666668,0.24448056221
NQ_MBO_SNAPSHOT_2024-04-17_LB_20240417_093502_SELL_0001,DISCOVERY_100,2024-04-17,LB_20240417_093502_SELL_0001,C_MIXED_PATH,SELL,2024-04-17T00:00:00.000000Z,2024-04-17T13:35:03.057000Z,13.5841825,0.363695928454
NQ_MBO_SNAPSHOT_2024-04-18_LB_20240418_093109_SELL_0001,DISCOVERY_100,2024-04-18,LB_20240418_093109_SELL_0001,B_CLEAN_BREAKOUT,SELL,2024-04-18T00:00:00.000000Z,2024-04-18T13:31:10.042000Z,13.519456111111111,0.315624265373
NQ_MBO_SNAPSHOT_2024-04-23_LB_20240423_093145_BUY_0001,DISCOVERY_100,2024-04-23,LB_20240423_093145_BUY_0001,B_CLEAN_BREAKOUT,BUY,2024-04-23T00:00:00.000000Z,2024-04-23T13:31:46.110000Z,13.529475,0.300126810372
NQ_MBO_SNAPSHOT_2024-04-26_LB_20240426_093151_SELL_0001,DISCOVERY_100,2024-04-26,LB_20240426_093151_SELL_0001,C_MIXED_PATH,SELL,2024-04-26T00:00:00.000000Z,2024-04-26T13:31:52.036000Z,13.53112111111111,0.383717988431
NQ_MBO_SNAPSHOT_2024-05-02_LB_20240502_093112_SELL_0001,DISCOVERY_100,2024-05-02,LB_20240502_093112_SELL_0001,B_CLEAN_BREAKOUT,SELL,2024-05-02T00:00:00.000000Z,2024-05-02T13:31:13.136000Z,13.520315555555555,0.300296352804
NQ_MBO_SNAPSHOT_2024-05-03_LB_20240503_093157_SELL_0001,DISCOVERY_100,2024-05-03,LB_20240503_093157_SELL_0001,B_CLEAN_BREAKOUT,SELL,2024-05-03T00:00:00.000000Z,2024-05-03T13:31:58.173000Z,13.532825833333334,0.322631268203
NQ_MBO_SNAPSHOT_2024-05-10_LB_20240510_093420_BUY_0001,DISCOVERY_100,2024-05-10,LB_20240510_093420_BUY_0001,B_CLEAN_BREAKOUT,BUY,2024-05-10T00:00:00.000000Z,2024-05-10T13:34:21.121000Z,13.57253361111111,0.18156811595
NQ_MBO_SNAPSHOT_2024-05-20_LB_20240520_093220_BUY_0001,DISCOVERY_100,2024-05-20,LB_20240520_093220_BUY_0001,B_CLEAN_BREAKOUT,BUY,2024-05-20T00:00:00.000000Z,2024-05-20T13:32:21.062000Z,13.53918388888889,0.169572003186
NQ_MBO_SNAPSHOT_2024-05-28_LB_20240528_093142_BUY_0001,DISCOVERY_100,2024-05-28,LB_20240528_093142_BUY_0001,C_MIXED_PATH,BUY,2024-05-28T00:00:00.000000Z,2024-05-28T13:31:43.048000Z,13.528624444444445,0.233367741108
NQ_MBO_SNAPSHOT_2024-06-05_LB_20240605_093547_SELL_0002,DISCOVERY_100,2024-06-05,LB_20240605_093547_SELL_0002,C_MIXED_PATH,SELL,2024-06-05T00:00:00.000000Z,2024-06-05T13:35:48.054000Z,13.596681666666663,0.221821206808
NQ_MBO_SNAPSHOT_2024-06-06_LB_20240606_093413_BUY_0001,DISCOVERY_100,2024-06-06,LB_20240606_093413_BUY_0001,C_MIXED_PATH,BUY,2024-06-06T00:00:00.000000Z,2024-06-06T13:34:14.079000Z,13.5705775,0.233583283424
NQ_MBO_SNAPSHOT_2024-06-11_LB_20240611_093350_BUY_0001,DISCOVERY_100,2024-06-11,LB_20240611_093350_BUY_0001,A_TRUE_ABSORPTION,BUY,2024-06-11T00:00:00.000000Z,2024-06-11T13:33:51.059000Z,13.564183055555556,0.25913490504
NQ_MBO_SNAPSHOT_2024-06-13_LB_20240613_093209_BUY_0001,DISCOVERY_100,2024-06-13,LB_20240613_093209_BUY_0001,C_MIXED_PATH,BUY,2024-06-13T00:00:00.000000Z,2024-06-13T13:32:10.037000Z,13.536121388888889,0.242091196775
NQ_MBO_SNAPSHOT_2024-06-14_LB_20240614_093644_BUY_0001,DISCOVERY_100,2024-06-14,LB_20240614_093644_BUY_0001,B_CLEAN_BREAKOUT,BUY,2024-06-14T00:00:00.000000Z,2024-06-14T13:36:45.081000Z,13.6125225,0.316068586707
NQ_MBO_SNAPSHOT_2024-07-08_LB_20240708_093223_BUY_0001,DISCOVERY_100,2024-07-08,LB_20240708_093223_BUY_0001,A_TRUE_ABSORPTION,BUY,2024-07-08T00:00:00.000000Z,2024-07-08T13:32:24.063000Z,13.5400175,0.186309295893
NQ_MBO_SNAPSHOT_2024-07-12_LB_20240712_093101_BUY_0001,DISCOVERY_100,2024-07-12,LB_20240712_093101_BUY_0001,A_TRUE_ABSORPTION,BUY,2024-07-12T00:00:00.000000Z,2024-07-12T13:31:02.044000Z,13.517234444444444,0.331885975599
NQ_MBO_SNAPSHOT_2024-07-16_LB_20240716_093212_BUY_0001,DISCOVERY_100,2024-07-16,LB_20240716_093212_BUY_0001,A_TRUE_ABSORPTION,BUY,2024-07-16T00:00:00.000000Z,2024-07-16T13:32:13.083000Z,13.5369675,0.251008790731
NQ_MBO_SNAPSHOT_2024-07-18_LB_20240718_093155_SELL_0001,DISCOVERY_100,2024-07-18,LB_20240718_093155_SELL_0001,C_MIXED_PATH,SELL,2024-07-18T00:00:00.000000Z,2024-07-18T13:31:56.057000Z,13.532238055555556,0.376050652564
