date,year,ny_utc_offset,season,nq_entry_utc,nq_or_high,nq_or_low,es_or_high,es_or_low,es_last_utc,es_lag_seconds,es_last_close,es_confirm,gross_ticks,net_ticks,mae_ticks,mae_net_ticks,exit_reason
2024-08-06,2024,-4,EDT_SEEN,2024-08-06T13:31:00+00:00,18119.5,18065.5,5241.25,5230.0,2024-08-06T13:30:59+00:00,1.0,5237.25,False,-60.0,-64.0,-60.0,-64.0,SL
2024-08-07,2024,-4,EDT_SEEN,2024-08-07T13:31:00+00:00,18488.75,18438.75,5329.25,5323.25,2024-08-07T13:30:59+00:00,1.0,5328.75,False,60.0,56.0,-43.0,-47.0,TP
2024-08-09,2024,-4,EDT_SEEN,2024-08-09T13:31:44+00:00,18483.25,18451.0,5341.5,5336.0,2024-08-09T13:31:43+00:00,1.0,5340.25,False,60.0,56.0,-39.0,-43.0,TP
2024-08-12,2024,-4,EDT_SEEN,2024-08-12T13:31:06+00:00,18666.0,18636.0,5383.75,5379.5,2024-08-12T13:31:05+00:00,1.0,5382.75,False,-60.0,-64.0,-81.0,-85.0,SL
2024-08-13,2024,-4,EDT_SEEN,2024-08-13T13:31:12+00:00,18844.0,18816.25,5407.0,5401.5,2024-08-13T13:31:11+00:00,1.0,5406.25,False,60.0,56.0,-50.0,-54.0,TP
2024-08-14,2024,-4,EDT_SEEN,2024-08-14T13:31:01+00:00,19165.25,19128.0,5469.25,5463.5,2024-08-14T13:31:00+00:00,1.0,5469.25,False,-60.0,-64.0,-62.0,-66.0,SL
2024-08-20,2024,-4,EDT_SEEN,2024-08-20T13:31:01+00:00,19836.75,19817.0,5629.5,5625.75,2024-08-20T13:31:00+00:00,1.0,5629.25,False,60.0,56.0,-9.0,-13.0,TP
2024-08-21,2024,-4,EDT_SEEN,2024-08-21T13:31:02+00:00,19846.75,19829.5,5632.75,5627.5,2024-08-21T13:31:01+00:00,1.0,5632.25,False,-60.0,-64.0,-60.0,-64.0,SL
2024-08-22,2024,-4,EDT_SEEN,2024-08-22T13:31:02+00:00,20024.0,19988.75,5662.75,5656.5,2024-08-22T13:31:01+00:00,1.0,5663.5,True,-60.0,-64.0,-68.0,-72.0,SL
2024-08-29,2024,-4,EDT_SEEN,2024-08-29T13:31:30+00:00,19509.0,19478.25,5631.75,5624.75,2024-08-29T13:31:29+00:00,1.0,5626.5,False,60.0,56.0,-23.0,-27.0,TP
2024-09-04,2024,-4,EDT_SEEN,2024-09-04T13:31:12+00:00,18886.25,18860.5,5525.0,5520.75,2024-09-04T13:31:11+00:00,1.0,5524.25,False,-60.0,-64.0,-66.0,-70.0,SL
2024-09-05,2024,-4,EDT_SEEN,2024-09-05T13:31:21+00:00,18913.0,18885.0,5533.0,5528.25,2024-09-05T13:31:20+00:00,1.0,5534.75,True,-60.0,-64.0,-62.0,-66.0,SL
2024-09-09,2024,-4,EDT_SEEN,2024-09-09T13:31:18+00:00,18634.75,18604.75,5463.25,5456.75,2024-09-09T13:31:17+00:00,1.0,5463.0,False,60.0,56.0,-42.0,-46.0,TP
