fecha,window_start_utc,window_end_utc_exclusive,has_p0,event_count,valid
2022-10-26,2022-10-26T13:29:05+00:00,2022-10-26T13:29:10+00:00,True,57,True
2022-10-26,2022-10-26T13:29:10+00:00,2022-10-26T13:29:15+00:00,True,29,True
2022-10-26,2022-10-26T13:29:15+00:00,2022-10-26T13:29:20+00:00,True,28,True
2022-10-26,2022-10-26T13:29:20+00:00,2022-10-26T13:29:25+00:00,True,45,True
2022-10-26,2022-10-26T13:29:25+00:00,2022-10-26T13:29:30+00:00,True,53,True
2022-10-26,2022-10-26T13:29:30+00:00,2022-10-26T13:29:35+00:00,True,40,True
2022-10-26,2022-10-26T13:29:35+00:00,2022-10-26T13:29:40+00:00,True,55,True
2022-10-26,2022-10-26T13:29:40+00:00,2022-10-26T13:29:45+00:00,True,41,True
2022-10-26,2022-10-26T13:29:45+00:00,2022-10-26T13:29:50+00:00,True,63,True
2022-10-26,2022-10-26T13:29:50+00:00,2022-10-26T13:29:55+00:00,True,46,True
2022-10-26,2022-10-26T13:29:55+00:00,2022-10-26T13:30:00+00:00,True,118,True
2022-10-26,2022-10-26T13:30:00+00:00,2022-10-26T13:30:05+00:00,True,1142,True
2022-10-27,2022-10-27T13:29:00+00:00,2022-10-27T13:29:05+00:00,True,23,True
2022-10-27,2022-10-27T13:29:05+00:00,2022-10-27T13:29:10+00:00,True,31,True
2022-10-27,2022-10-27T13:29:10+00:00,2022-10-27T13:29:15+00:00,True,32,True
2022-10-27,2022-10-27T13:29:15+00:00,2022-10-27T13:29:20+00:00,True,17,True
2022-10-27,2022-10-27T13:29:20+00:00,2022-10-27T13:29:25+00:00,True,30,True
2022-10-27,2022-10-27T13:29:25+00:00,2022-10-27T13:29:30+00:00,True,16,True
2022-10-27,2022-10-27T13:29:30+00:00,2022-10-27T13:29:35+00:00,True,31,True
2022-10-27,2022-10-27T13:29:35+00:00,2022-10-27T13:29:40+00:00,True,20,True
2022-10-27,2022-10-27T13:29:40+00:00,2022-10-27T13:29:45+00:00,True,38,True
2022-10-27,2022-10-27T13:29:45+00:00,2022-10-27T13:29:50+00:00,True,44,True
2022-10-27,2022-10-27T13:29:50+00:00,2022-10-27T13:29:55+00:00,True,79,True
2022-10-27,2022-10-27T13:29:55+00:00,2022-10-27T13:30:00+00:00,True,160,True
2022-10-27,2022-10-27T13:30:00+00:00,2022-10-27T13:30:05+00:00,True,775,True
2022-10-27,2022-10-27T13:30:05+00:00,2022-10-27T13:30:10+00:00,True,283,True
2022-10-27,2022-10-27T13:30:10+00:00,2022-10-27T13:30:15+00:00,True,310,True
2022-10-27,2022-10-27T13:30:15+00:00,2022-10-27T13:30:20+00:00,True,306,True
2022-10-27,2022-10-27T13:30:20+00:00,2022-10-27T13:30:25+00:00,True,301,True
2022-10-27,2022-10-27T13:30:25+00:00,2022-10-27T13:30:30+00:00,True,246,True
2022-10-27,2022-10-27T13:30:30+00:00,2022-10-27T13:30:35+00:00,True,295,True
2022-10-27,2022-10-27T13:30:35+00:00,2022-10-27T13:30:40+00:00,True,246,True
2022-10-27,2022-10-27T13:30:40+00:00,2022-10-27T13:30:45+00:00,True,225,True
2022-10-27,2022-10-27T13:30:45+00:00,2022-10-27T13:30:50+00:00,True,181,True
2022-10-27,2022-10-27T13:30:50+00:00,2022-10-27T13:30:55+00:00,True,199,True
2022-10-27,2022-10-27T13:30:55+00:00,2022-10-27T13:31:00+00:00,True,195,True
2022-10-27,2022-10-27T13:31:00+00:00,2022-10-27T13:31:05+00:00,True,321,True
2022-10-27,2022-10-27T13:31:05+00:00,2022-10-27T13:31:10+00:00,True,224,True
2022-10-27,2022-10-27T13:31:10+00:00,2022-10-27T13:31:15+00:00,True,249,True
2022-10-27,2022-10-27T13:31:15+00:00,2022-10-27T13:31:20+00:00,True,163,True
2022-10-27,2022-10-27T13:31:20+00:00,2022-10-27T13:31:25+00:00,True,218,True
2022-10-27,2022-10-27T13:31:25+00:00,2022-10-27T13:31:30+00:00,True,187,True
2022-10-27,2022-10-27T13:31:30+00:00,2022-10-27T13:31:35+00:00,True,92,True
2022-10-27,2022-10-27T13:31:35+00:00,2022-10-27T13:31:40+00:00,True,151,True
2022-10-27,2022-10-27T13:31:40+00:00,2022-10-27T13:31:45+00:00,True,196,True
2022-10-27,2022-10-27T13:31:45+00:00,2022-10-27T13:31:50+00:00,True,220,True
2022-10-27,2022-10-27T13:31:50+00:00,2022-10-27T13:31:55+00:00,True,156,True
2022-10-27,2022-10-27T13:31:55+00:00,2022-10-27T13:32:00+00:00,True,218,True
2022-10-27,2022-10-27T13:32:00+00:00,2022-10-27T13:32:05+00:00,True,337,True
2022-10-27,2022-10-27T13:32:05+00:00,2022-10-27T13:32:10+00:00,True,219,True
2022-10-27,2022-10-27T13:32:10+00:00,2022-10-27T13:32:15+00:00,True,186,True
2022-10-27,2022-10-27T13:32:15+00:00,2022-10-27T13:32:20+00:00,True,201,True
2022-10-27,2022-10-27T13:32:20+00:00,2022-10-27T13:32:25+00:00,True,131,True
2022-10-27,2022-10-27T13:32:25+00:00,2022-10-27T13:32:30+00:00,True,234,True
2022-10-27,2022-10-27T13:32:30+00:00,2022-10-27T13:32:35+00:00,True,165,True
2022-10-27,2022-10-27T13:32:35+00:00,2022-10-27T13:32:40+00:00,True,154,True
2022-10-27,2022-10-27T13:32:40+00:00,2022-10-27T13:32:45+00:00,True,245,True
2022-10-27,2022-10-27T13:32:45+00:00,2022-10-27T13:32:50+00:00,True,234,True
2022-10-27,2022-10-27T13:32:50+00:00,2022-10-27T13:32:55+00:00,True,159,True
2022-10-27,2022-10-27T13:32:55+00:00,2022-10-27T13:33:00+00:00,True,269,True
2022-10-27,2022-10-27T13:33:00+00:00,2022-10-27T13:33:05+00:00,True,242,True
2022-10-27,2022-10-27T13:33:05+00:00,2022-10-27T13:33:10+00:00,True,269,True
2022-10-27,2022-10-27T13:33:10+00:00,2022-10-27T13:33:15+00:00,True,168,True
2022-10-27,2022-10-27T13:33:15+00:00,2022-10-27T13:33:20+00:00,True,122,True
2022-10-27,2022-10-27T13:33:20+00:00,2022-10-27T13:33:25+00:00,True,151,True
2022-10-27,2022-10-27T13:33:25+00:00,2022-10-27T13:33:30+00:00,True,120,True
2022-10-27,2022-10-27T13:33:30+00:00,2022-10-27T13:33:35+00:00,True,110,True
2022-10-27,2022-10-27T13:33:35+00:00,2022-10-27T13:33:40+00:00,True,181,True
2022-10-27,2022-10-27T13:33:40+00:00,2022-10-27T13:33:45+00:00,True,87,True
2022-10-27,2022-10-27T13:33:45+00:00,2022-10-27T13:33:50+00:00,True,98,True
2022-10-27,2022-10-27T13:33:50+00:00,2022-10-27T13:33:55+00:00,True,119,True
2022-10-27,2022-10-27T13:33:55+00:00,2022-10-27T13:34:00+00:00,True,134,True
2022-10-27,2022-10-27T13:34:00+00:00,2022-10-27T13:34:05+00:00,True,165,True
2022-10-27,2022-10-27T13:34:05+00:00,2022-10-27T13:34:10+00:00,True,257,True
2022-10-27,2022-10-27T13:34:10+00:00,2022-10-27T13:34:15+00:00,True,142,True
2022-10-27,2022-10-27T13:34:15+00:00,2022-10-27T13:34:20+00:00,True,125,True
2022-10-27,2022-10-27T13:34:20+00:00,2022-10-27T13:34:25+00:00,True,143,True
2022-10-27,2022-10-27T13:34:25+00:00,2022-10-27T13:34:30+00:00,True,143,True
2022-10-27,2022-10-27T13:34:30+00:00,2022-10-27T13:34:35+00:00,True,150,True
2022-10-27,2022-10-27T13:34:35+00:00,2022-10-27T13:34:40+00:00,True,105,True
2022-10-27,2022-10-27T13:34:40+00:00,2022-10-27T13:34:45+00:00,True,89,True
2022-10-27,2022-10-27T13:34:45+00:00,2022-10-27T13:34:50+00:00,True,109,True
2022-10-27,2022-10-27T13:34:50+00:00,2022-10-27T13:34:55+00:00,True,186,True
2022-10-27,2022-10-27T13:34:55+00:00,2022-10-27T13:35:00+00:00,True,161,True
2022-10-27,2022-10-27T13:35:00+00:00,2022-10-27T13:35:05+00:00,True,268,True
2022-10-27,2022-10-27T13:35:05+00:00,2022-10-27T13:35:10+00:00,True,242,True
2022-10-27,2022-10-27T13:35:10+00:00,2022-10-27T13:35:15+00:00,True,398,True
2022-10-27,2022-10-27T13:35:15+00:00,2022-10-27T13:35:20+00:00,True,276,True
2022-10-27,2022-10-27T13:35:20+00:00,2022-10-27T13:35:25+00:00,True,192,True
2022-10-28,2022-10-28T13:29:00+00:00,2022-10-28T13:29:05+00:00,True,36,True
2022-10-28,2022-10-28T13:29:05+00:00,2022-10-28T13:29:10+00:00,True,47,True
2022-10-28,2022-10-28T13:29:10+00:00,2022-10-28T13:29:15+00:00,True,70,True
